yearID,teamID,name
1915,DET,Detroit Tigers
1915,KCF,Kansas City Packers
1915,NEW,Newark Pepper
1915,NY1,New York Giants
1915,NYA,New York Yankees
1915,PHA,Philadelphia Athletics
1915,PHI,Philadelphia Phillies
1915,PIT,Pittsburgh Pirates
1915,PTF,Pittsburgh Rebels
1915,SLA,St. Louis Browns
1915,SLF,St. Louis Terriers
1915,SLN,St. Louis Cardinals
1915,WS1,Washington Senators
1916,BOS,Boston Red Sox
1916,BRO,Brooklyn Robins
1916,BSN,Boston Braves
1916,CHA,Chicago White Sox
1916,CHN,Chicago Cubs
1916,CIN,Cincinnati Reds
1916,CLE,Cleveland Indians
1916,DET,Detroit Tigers
1916,NY1,New York Giants
1916,NYA,New York Yankees
1916,PHA,Philadelphia Athletics
1916,PHI,Philadelphia Phillies
1916,PIT,Pittsburgh Pirates
1916,SLA,St. Louis Browns
1916,SLN,St. Louis Cardinals
1916,WS1,Washington Senators
1917,BOS,Boston Red Sox
1917,BRO,Brooklyn Robins
1917,BSN,Boston Braves
1917,CHA,Chicago White Sox
1917,CHN,Chicago Cubs
1917,CIN,Cincinnati Reds
1917,CLE,Cleveland Indians
1917,DET,Detroit Tigers
1917,NY1,New York Giants
1917,NYA,New York Yankees
1917,PHA,Philadelphia Athletics
1917,PHI,Philadelphia Phillies
1917,PIT,Pittsburgh Pirates
1917,SLA,St. Louis Browns
1917,SLN,St. Louis Cardinals
1917,WS1,Washington Senators
1918,BOS,Boston Red Sox
1918,BRO,Brooklyn Robins
1918,BSN,Boston Braves
1918,CHA,Chicago White Sox
1918,CHN,Chicago Cubs
1918,CIN,Cincinnati Reds
1918,CLE,Cleveland Indians
1918,DET,Detroit Tigers
1918,NY1,New York Giants
1918,NYA,New York Yankees
1918,PHA,Philadelphia Athletics
1918,PHI,Philadelphia Phillies
1918,PIT,Pittsburgh Pirates
1918,SLA,St. Louis Browns
1918,SLN,St. Louis Cardinals
1918,WS1,Washington Senators
1919,BOS,Boston Red Sox
1919,BRO,Brooklyn Robins
1919,BSN,Boston Braves
1919,CHA,Chicago White Sox
1919,CHN,Chicago Cubs
1919,CIN,Cincinnati Reds
1919,CLE,Cleveland Indians
1919,DET,Detroit Tigers
1919,NY1,New York Giants
1919,NYA,New York Yankees
1919,PHA,Philadelphia Athletics
1919,PHI,Philadelphia Phillies
1919,PIT,Pittsburgh Pirates
1919,SLA,St. Louis Browns
1919,SLN,St. Louis Cardinals
1919,WS1,Washington Senators
1920,BOS,Boston Red Sox
1920,BRO,Brooklyn Robins
1920,BSN,Boston Braves
1920,CHA,Chicago White Sox
1920,CHN,Chicago Cubs
1920,CIN,Cincinnati Reds
1920,CLE,Cleveland Indians
1920,DET,Detroit Tigers
1920,NY1,New York Giants
1920,NYA,New York Yankees
1920,PHA,Philadelphia Athletics
1920,PHI,Philadelphia Phillies
1920,PIT,Pittsburgh Pirates
1920,SLA,St. Louis Browns
1920,SLN,St. Louis Cardinals
1920,WS1,Washington Senators
1921,BOS,Boston Red Sox
1921,BRO,Brooklyn Robins
1921,BSN,Boston Braves
1921,CHA,Chicago White Sox
1921,CHN,Chicago Cubs
1921,CIN,Cincinnati Reds
1921,CLE,Cleveland Indians
1921,DET,Detroit Tigers
1921,NY1,New York Giants
1921,NYA,New York Yankees
1921,PHA,Philadelphia Athletics
1921,PHI,Philadelphia Phillies
1921,PIT,Pittsburgh Pirates
1921,SLA,St. Louis Browns
1921,SLN,St. Louis Cardinals
1921,WS1,Washington Senators
1922,BOS,Boston Red Sox
1922,BRO,Brooklyn Robins
1922,BSN,Boston Braves
1922,CHA,Chicago White Sox
1922,CHN,Chicago Cubs
1922,CIN,Cincinnati Reds
1922,CLE,Cleveland Indians
1922,DET,Detroit Tigers
1922,NY1,New York Giants
1922,NYA,New York Yankees
1922,PHA,Philadelphia Athletics
1922,PHI,Philadelphia Phillies
1922,PIT,Pittsburgh Pirates
1922,SLA,St. Louis Browns
1922,SLN,St. Louis Cardinals
1922,WS1,Washington Senators
1923,BOS,Boston Red Sox
1923,BRO,Brooklyn Robins
1923,BSN,Boston Braves
1923,CHA,Chicago White Sox
1923,CHN,Chicago Cubs
1923,CIN,Cincinnati Reds
1923,CLE,Cleveland Indians
1923,DET,Detroit Tigers
1923,NY1,New York Giants
1923,NYA,New York Yankees
1923,PHA,Philadelphia Athletics
1923,PHI,Philadelphia Phillies
1923,PIT,Pittsburgh Pirates
1923,SLA,St. Louis Browns
1923,SLN,St. Louis Cardinals
1923,WS1,Washington Senators
1924,BOS,Boston Red Sox
1924,BRO,Brooklyn Robins
1924,BSN,Boston Braves
1924,CHA,Chicago White Sox
1924,CHN,Chicago Cubs
1924,CIN,Cincinnati Reds
1924,CLE,Cleveland Indians
1924,DET,Detroit Tigers
1924,NY1,New York Giants
1924,NYA,New York Yankees
1924,PHA,Philadelphia Athletics
1924,PHI,Philadelphia Phillies
1924,PIT,Pittsburgh Pirates
1924,SLA,St. Louis Browns
1924,SLN,St. Louis Cardinals
1924,WS1,Washington Senators
1925,BOS,Boston Red Sox
1925,BRO,Brooklyn Robins
1925,BSN,Boston Braves
1925,CHA,Chicago White Sox
1925,CHN,Chicago Cubs
1925,CIN,Cincinnati Reds
1925,CLE,Cleveland Indians
1925,DET,Detroit Tigers
1925,NY1,New York Giants
1925,NYA,New York Yankees
1925,PHA,Philadelphia Athletics
1925,PHI,Philadelphia Phillies
1925,PIT,Pittsburgh Pirates
1925,SLA,St. Louis Browns
1925,SLN,St. Louis Cardinals
1925,WS1,Washington Senators
1926,BOS,Boston Red Sox
1926,BRO,Brooklyn Robins
1926,BSN,Boston Braves
1926,CHA,Chicago White Sox
1926,CHN,Chicago Cubs
1926,CIN,Cincinnati Reds
1926,CLE,Cleveland Indians
1926,DET,Detroit Tigers
1926,NY1,New York Giants
1926,NYA,New York Yankees
1926,PHA,Philadelphia Athletics
1926,PHI,Philadelphia Phillies
1926,PIT,Pittsburgh Pirates
1926,SLA,St. Louis Browns
1926,SLN,St. Louis Cardinals
