playerID,nameFirst,nameLast,nameGiven
ardnejo01,Joe,Ardner,Joseph A.
ardoida01,Danny,Ardoin,Daniel Wayne
arellfr01,Frank,Arellanes,Frank Julian
arenano01,Nolan,Arenado,Nolan James
arencjp01,J. P.,Arencibia,Jonathan Paul
arftha01,Hank,Arft,Henry Irven
ariasal01,Alex,Arias,Alejandro
ariasal02,Alberto,Arias,Alberto A.
ariasge01,George,Arias,George Alberto
ariasjo01,Joaquin,Arias,Joaquin
ariasru01,Rudy,Arias,Rodolfo
arletbu01,Buzz,Arlett,Russell Loris
arlicdo01,Don,Arlich,Donald Louis
arlinst01,Steve,Arlin,Stephen Ralph
armasma01,Marcos,Armas,Marcos Rafael
armasto01,Tony,Armas,Antonio Rafael
armasto02,Tony,Armas,Antonio Jose
armbrch01,Charlie,Armbruster,Charles Anthony
armbred01,Ed,Armbrister,Edison Rosanda
armbrha01,Harry,Armbruster,Harry Gregory
armbror01,Orville,Armbrust,Orville Martin
armoubi99,Bill,Armour,William Reginald
armstbo01,Robert,Armstrong,Robert
armstge01,George,Armstrong,Noble George
armstho01,Howard,Armstrong,Howard Elmer
armstja01,Jack,Armstrong,Jack William
armstmi01,Mike,Armstrong,Michael Dennis
armstsh01,Shawn,Armstrong,Shawn Michael
arndtha01,Harry,Arndt,Harry John
arndtla01,Larry,Arndt,Larry Wayne
arnolbi01,Billy,Arnold,Willis S.
arnolch01,Chris,Arnold,Christopher Paul
arnolja01,Jamie,Arnold,James Lee
arnolsc01,Scott,Arnold,Scott Gentry
arnolto01,Tony,Arnold,Tony Dale
arnovmo01,Morrie,Arnovich,Morris
arnsbbr01,Brad,Arnsberg,Bradley James
arntzor01,Orie,Arntzen,Orie Edgar
arochre01,Rene,Arocha,Rene
arojo01,Jonathan,Aro,Jonathan Arturo
arredjo01,Jose,Arredondo,Jose Juan
arrieja01,Jake,Arrieta,Jacob Joseph
arrigge01,Gerry,Arrigo,Gerald William
arrojro01,Rolando,Arrojo,Luis Rolando
arroybr01,Bronson,Arroyo,Bronson Anthony
arroyfe01,Fernando,Arroyo,Fernando
arroylu01,Luis,Arroyo,Luis Enrique
arroyru01,Rudy,Arroyo,Rudolph
arrueer01,Erisbel,Arruebarrena,Barbaro Erisbel
arundha01,Harry,Arundel,Harry
arundtu01,Tug,Arundel,John Thomas
asadora01,Randy,Asadoor,Randall Carl
asbelji01,Jim,Asbell,James Marion
asbjoca01,Casper,Asbjornson,Robert Anthony
ascanjo01,Jose,Ascanio,Jose Eleazar
ascheco01,Cody,Asche,Cody James
asencmi01,Miguel,Asencio,Miguel
ashburi01,Richie,Ashburn,Don Richard
ashbyal01,Alan,Ashby,Alan Dean
ashbyan01,Andy,Ashby,Andrew Jason
asheral01,Alec,Asher,Alec Edward
ashfotu01,Tucker,Ashford,Thomas Steven
ashke01,Ken,Ash,Kenneth Lowther
ashlebi01,Billy,Ashley,Billy Manual
ashlene01,Nevin,Ashley,Nevin Robert
asmusto01,Tom,Asmussen,Thomas William
asprobo01,Bob,Aspromonte,Robert Thomas
asproke01,Ken,Aspromonte,Kenneth Joseph
asselbr01,Brian,Asselstine,Brian Hanly
assenpa01,Paul,Assenmacher,Paul Andre
astacez01,Ezequiel,Astacio,Ezequiel F.
astacpe01,Pedro,Astacio,Pedro Julio
astrojo01,Joe,Astroth,Joseph Henry
asuajca01,Carlos,Asuaje,Carlos A.
atchisc01,Scott,Atchison,Scott Barham
atchlju01,Justin,Atchley,Justin Scott
atherch01,Charlie,Atherton,Charles Morgan Herbert
atherke01,Keith,Atherton,Keith Rowe
atilalu01,Luis,Atilano,Luis A.
atkinal01,Al,Atkinson,Albert Wright
atkinbi01,Bill,Atkinson,William Cecil Glenn
atkined01,Ed,Atkinson,Edward
atkinga01,Garrett,Atkins,Garrett Bernard
atkinja01,James,Atkins,James Curtis
atkinle01,Lefty,Atkinson,Hubert Burley
atkinmi01,Mitch,Atkins,Mitchell Shane
atkinto01,Tommy,Atkins,Francis Montgomery
attredi01,Dick,Attreau,Richard Gilbert
atwelto01,Toby,Atwell,Maurice Dailey
atwoobi01,Bill,Atwood,William Franklin
atzja01,John,Atz,Jacob Henry
aubreha01,Chub,Aubrey,Harry Herbert
aubremi01,Michael,Aubrey,Robert Michael
aucoide01,Derek,Aucoin,Derek Alfred
auderi01,Rich,Aude,Richard Thomas
auerbri01,Rick,Auerbach,Frederick Steven
augenbr01,Bryan,Augenstein,Bryan Christopher
augusda01,Dave,Augustine,David Ralph
augusdo01,Don,August,Donald Glenn
augusje01,Jerry,Augustine,Gerald Lee
aukerel01,Elden,Auker,Elden LeRoy
auldsle01,Tex,Aulds,Leycester Doyle
aultdo01,Doug,Ault,Douglas Reagan
aumonph01,Phillippe,Aumont,Phillippe
aurilri01,Rich,Aurilia,Richard Santo
ausanjo01,Joe,Ausanio,Joseph John
ausmubr01,Brad,Ausmus,Bradley David
austde01,Dennis,Aust,Dennis Kay
austihe01,Henry,Austin,Henry C.
austije01,Jeff,Austin,Jeffrey Wellington
austiji01,Jimmy,Austin,James Philip
austiji02,Jim,Austin,James Parker
austiri01,Rick,Austin,Rick Gerald
austity01,Tyler,Austin,Christopher Tyler
autryal01,Al,Autry,Albert
autrych01,Chick,Autry,William Askew
autrych02,Chick,Autry,Martin Gordon
avenbr01,Bruce,Aven,David Bruce
averiea01,Earl,Averill,Howard Earl
averiea02,Earl,Averill,Earl Douglas
averyst01,Steve,Avery,Steven Thomas
averyxa01,Xavier,Avery,Xavier Tyrone
avilaal01,Alex,Avila,Alexander Thomas
avilabo01,Bobby,Avila,Roberto Francisco
avilalu01,Luis,Avilan,Luis Armando
avilemi01,Mike,Aviles,Michael Anthony
avilera01,Ramon,Aviles,Ramon Antonio
avreaja01,Jay,Avrea,James Epherium
axelrdy01,Dylan,Axelrod,Dylan Davis Haines
axforjo01,John,Axford,John Berton
ayalabe01,Benny,Ayala,Benigno
ayalabo01,Bobby,Ayala,Robert Joseph
ayalalu01,Luis,Ayala,Luis Ignacio
aybarer01,Erick,Aybar,Erick Johan
aybarma01,Manny,Aybar,Manuel Antonio
aybarwi01,Willy,Aybar,Willy Del Jesus
aydelja01,Jake,Aydelott,Jacob Stuart
ayersbi01,Bill,Ayers,William Oscar
ayersdo01,Doc,Ayers,Yancey Wyatt
aylwadi01,Dick,Aylward,Richard John
ayraubo01,Bob,Ayrault,Robert Cunningham
ayraujo01,Joe,Ayrault,Joseph Allen
azcuejo01,Joe,Azcue,Jose Joaquin
azocaos01,Oscar,Azocar,Oscar Gregorio
babbch01,Charlie,Babb,Charles Amos
babcobo01,Bob,Babcock,Robert Ernest
babelo01,Loren,Babe,Loren Rolland
babicjo01,Johnny,Babich,John Charles
babinch01,Charlie,Babington,Charles Percy
babitsh01,Shooty,Babitt,Mack Neal
backebr01,Brandon,Backe,Brandon Allen
backmle01,Les,Backman,Lester John
backmwa01,Wally,Backman,Walter Wayne
